trial_number,value,params
58,0.0189312757383378,{'alpha': 0.722109358027532}
59,0.0212969970006133,{'alpha': 0.61395265303931}
60,0.0212513237178109,{'alpha': 0.42486186696862904}
61,0.0215275870821194,{'alpha': 0.5621823349535336}
62,0.0213905505060232,{'alpha': 0.5697774500997904}
63,0.0210207827041933,{'alpha': 0.6265563910987797}
64,0.0213732607663863,{'alpha': 0.5207590454838026}
65,0.021348299708447,{'alpha': 0.4782528660794438}
66,0.0215118496720474,{'alpha': 0.5676807473027565}
67,0.0214589957498282,{'alpha': 0.5176025487675311}
68,0.0209692759185503,{'alpha': 0.34612307136619314}
69,0.0212237286064,{'alpha': 0.4041060624930494}
70,0.0212223848153614,{'alpha': 0.43926174944495844}
71,0.0214172412070338,{'alpha': 0.5740752802478746}
72,0.0213204436450833,{'alpha': 0.6038170308465692}
73,0.0214938930551981,{'alpha': 0.5626825200946106}
74,0.0215538763185875,{'alpha': 0.4996409508898462}
75,0.0214289149037907,{'alpha': 0.4934637322323274}
76,0.0213543707444753,{'alpha': 0.5197642508956041}
77,0.0213266931097973,{'alpha': 0.4548434247508572}
78,0.0212596686044016,{'alpha': 0.3854485301046949}
79,0.0210331924192784,{'alpha': 0.6364605781487706}
80,0.0172375235971937,{'alpha': 0.7665526640124989}
81,0.0214549799892224,{'alpha': 0.5429845865772888}
82,0.0202826600326877,{'alpha': 0.6756926936935688}
83,0.0215068759724358,{'alpha': 0.4806838581580476}
84,0.0214850095370127,{'alpha': 0.4884104705068631}
85,0.0212477116521063,{'alpha': 0.4308129813816072}
86,0.0107432056586875,{'alpha': 0.9912082165034927}
87,0.0214120846180193,{'alpha': 0.46569528616368766}
88,0.0214554840502592,{'alpha': 0.5879300426490243}
89,0.0215012967304722,{'alpha': 0.5349714450284562}
90,0.0215400135248939,{'alpha': 0.5051812984017616}
91,0.0213721980005277,{'alpha': 0.5056237378413648}
92,0.0212899379157383,{'alpha': 0.47776367889046933}
93,0.0213723931569025,{'alpha': 0.5501062288933909}
94,0.0214454965045814,{'alpha': 0.41724383461875614}
95,0.0214552342500994,{'alpha': 0.5093488537590382}
96,0.0212550216523204,{'alpha': 0.4495438093673736}
97,0.0215601503172456,{'alpha': 0.5655302953424088}
