trial_number,value,params
53,0.0172373908908587,"{'num_factors': 97, 'scaling_items': 0.04058874176361671, 'scaling_users': 0.27871984490143914}"
54,0.0177486481796705,"{'num_factors': 87, 'scaling_items': 0.15082396404648163, 'scaling_users': 0.13935805526099787}"
55,0.0181086291680941,"{'num_factors': 85, 'scaling_items': 0.15206375887573806, 'scaling_users': 0.03764392702417199}"
56,0.0182083183899309,"{'num_factors': 87, 'scaling_items': 0.15289879090174696, 'scaling_users': 0.03922462155843284}"
57,0.0189690301330363,"{'num_factors': 86, 'scaling_items': 0.0734959706579251, 'scaling_users': 0.025860625386812476}"
58,0.0180622611285971,"{'num_factors': 74, 'scaling_items': 0.07628229189671602, 'scaling_users': 0.03201734449147562}"
59,0.0193550918194014,"{'num_factors': 77, 'scaling_items': 0.018262883028446697, 'scaling_users': 0.03063664481815203}"
60,0.0195848945843323,"{'num_factors': 86, 'scaling_items': 0.02588743475311803, 'scaling_users': 0.03998277583985299}"
61,0.0197501831124384,"{'num_factors': 86, 'scaling_items': 0.030086756015128738, 'scaling_users': 0.0016956488072309428}"
62,0.0193907965145739,"{'num_factors': 78, 'scaling_items': 0.02052093081898229, 'scaling_users': 0.009230337255025284}"
63,0.0189607844974019,"{'num_factors': 72, 'scaling_items': 0.02415705376270754, 'scaling_users': 0.005113996005694585}"
64,0.0194432166320513,"{'num_factors': 78, 'scaling_items': 0.015992146397311578, 'scaling_users': 0.004347808631275228}"
65,0.0196084739351374,"{'num_factors': 78, 'scaling_items': 0.012025417598914883, 'scaling_users': 0.006329610760202029}"
66,0.0193563932336272,"{'num_factors': 79, 'scaling_items': 0.004152290054609186, 'scaling_users': 0.05657808757297829}"
67,0.018551465747045,"{'num_factors': 80, 'scaling_items': 0.010061869623883722, 'scaling_users': 0.1216331167433403}"
68,0.0189008569929769,"{'num_factors': 77, 'scaling_items': 0.03638125530660517, 'scaling_users': 0.060479969036697286}"
69,0.0188623275486753,"{'num_factors': 71, 'scaling_items': 0.007460929179965102, 'scaling_users': 0.002426940384956368}"
70,0.0184641706277834,"{'num_factors': 79, 'scaling_items': 0.049791255211255714, 'scaling_users': 0.10918287481234715}"
71,0.0187159223514045,"{'num_factors': 82, 'scaling_items': 0.06831284467280321, 'scaling_users': 0.05179346950890562}"
72,0.0194537283119931,"{'num_factors': 76, 'scaling_items': 0.0038021413760865874, 'scaling_users': 0.0011639230349923964}"
73,0.0175400739676116,"{'num_factors': 63, 'scaling_items': 0.0002973236900998752, 'scaling_users': 0.08885490107602449}"
74,0.0188106914022353,"{'num_factors': 75, 'scaling_items': 0.0346774467052798, 'scaling_users': 0.0037188692706313082}"
75,0.0171436143495917,"{'num_factors': 70, 'scaling_items': 0.08849359027810377, 'scaling_users': 0.14724020544965252}"
76,0.0190771489950895,"{'num_factors': 83, 'scaling_items': 0.04258287056854172, 'scaling_users': 0.06540570953443109}"
77,0.0193846384945613,"{'num_factors': 78, 'scaling_items': 0.0010658231183118955, 'scaling_users': 0.02371515951778604}"
78,0.018049976313592,"{'num_factors': 72, 'scaling_items': 0.05950403454028175, 'scaling_users': 0.06281480012619707}"
79,0.00828121877498,"{'num_factors': 12, 'scaling_items': 0.11950403400599997, 'scaling_users': 0.09920448669331057}"
80,0.0173490225676602,"{'num_factors': 66, 'scaling_items': 0.09341532415454261, 'scaling_users': 0.0019007502473547707}"
81,0.0194790997559093,"{'num_factors': 77, 'scaling_items': 0.0004953373594524836, 'scaling_users': 0.02348590352414216}"
82,0.0191253927661441,"{'num_factors': 75, 'scaling_items': 0.00395170785629757, 'scaling_users': 0.02641478621168962}"
83,0.0184896034065602,"{'num_factors': 80, 'scaling_items': 0.030630560213790032, 'scaling_users': 0.13340056392153443}"
84,0.0124873014534803,"{'num_factors': 26, 'scaling_items': 0.05552922745989686, 'scaling_users': 0.08649720864195537}"
85,0.0194288285889145,"{'num_factors': 88, 'scaling_items': 0.06185816067622414, 'scaling_users': 0.05714962853460682}"
86,0.0183202032124299,"{'num_factors': 89, 'scaling_items': 0.09963388736274319, 'scaling_users': 0.16332197878102273}"
87,0.0189209681362052,"{'num_factors': 83, 'scaling_items': 0.07082304089567071, 'scaling_users': 0.01964594605017949}"
88,0.017423411717055,"{'num_factors': 74, 'scaling_items': 0.12231082741681588, 'scaling_users': 0.09638074946701322}"
89,0.0182193553193159,"{'num_factors': 68, 'scaling_items': 0.02892296836780756, 'scaling_users': 0.05376068961252696}"
90,0.0171580659579479,"{'num_factors': 62, 'scaling_items': 0.05473896752752255, 'scaling_users': 0.08107791546627299}"
91,0.019473106782431,"{'num_factors': 79, 'scaling_items': 0.0021840239090526424, 'scaling_users': 0.04444105150273987}"
92,0.0110348529212346,"{'num_factors': 88, 'scaling_items': 0.711661607517083, 'scaling_users': 0.02178082998816956}"
93,0.0190870294835559,"{'num_factors': 78, 'scaling_items': 0.022956903574533814, 'scaling_users': 0.04653415432382416}"
94,0.018962540904776,"{'num_factors': 85, 'scaling_items': 0.08593128747197401, 'scaling_users': 0.0030487067171080097}"
95,0.0195234582423345,"{'num_factors': 82, 'scaling_items': 0.00011513969565454579, 'scaling_users': 0.07000657848501528}"
96,0.018640153725234,"{'num_factors': 82, 'scaling_items': 0.049938757091531706, 'scaling_users': 0.11792301298672644}"
97,0.0197245038790394,"{'num_factors': 90, 'scaling_items': 0.02672590032871318, 'scaling_users': 0.0821553560661727}"
98,0.0194518748840212,"{'num_factors': 98, 'scaling_items': 0.0901505292581147, 'scaling_users': 0.07691031076515725}"
99,0.0182644587455036,"{'num_factors': 90, 'scaling_items': 0.13285153158511148, 'scaling_users': 0.10389003351512185}"
0,0.019221931606500493,"{'num_factors': 164, 'scaling_items': 0.27395592142995484, 'scaling_users': 0.23872070490727595}"
1,0.015898997320001534,"{'num_factors': 188, 'scaling_items': 0.5589315944609211, 'scaling_users': 0.03309447466780329}"
2,0.01608115851069172,"{'num_factors': 230, 'scaling_items': 0.2946235921950103, 'scaling_users': 0.819603701451284}"
3,0.021038636724548775,"{'num_factors': 252, 'scaling_items': 0.29794143335417383, 'scaling_users': 0.042485475090988}"
4,0.011078414054470985,"{'num_factors': 109, 'scaling_items': 0.7863598130151883, 'scaling_users': 0.7858758663365615}"
5,0.018591400317246286,"{'num_factors': 273, 'scaling_items': 0.39748414430928514, 'scaling_users': 0.5241827003086142}"
6,0.0159918549535374,"{'num_factors': 157, 'scaling_items': 0.13245502745212837, 'scaling_users': 0.5759362556979493}"
7,0.009602625934966486,"{'num_factors': 57, 'scaling_items': 0.3318487216221935, 'scaling_users': 0.8885464352441043}"
8,0.01383415365921587,"{'num_factors': 144, 'scaling_items': 0.659177764230897, 'scaling_users': 0.4019851014466979}"
9,0.015655245892572032,"{'num_factors': 174, 'scaling_items': 0.554119744820302, 'scaling_users': 0.09834210733025954}"
10,0.014648423002669686,"{'num_factors': 299, 'scaling_items': 0.9958568407204311, 'scaling_users': 0.3063056309475862}"
11,0.023568399744489713,"{'num_factors': 232, 'scaling_items': 0.04423465797411519, 'scaling_users': 0.20292658607040157}"
12,0.023964617368604776,"{'num_factors': 238, 'scaling_items': 0.010618760133176142, 'scaling_users': 0.19491317707894473}"
13,0.023092280639773578,"{'num_factors': 219, 'scaling_items': 0.027922941709967612, 'scaling_users': 0.2102934388080659}"
14,0.01980144790417648,"{'num_factors': 221, 'scaling_items': 0.01612445268981172, 'scaling_users': 0.4136486628366595}"
15,0.01830324022032369,"{'num_factors': 268, 'scaling_items': 0.11737289146068172, 'scaling_users': 0.6777257602505611}"
16,0.021953116078565565,"{'num_factors': 203, 'scaling_items': 0.1595556723903645, 'scaling_users': 0.18938990943987713}"
17,0.02070222281995818,"{'num_factors': 245, 'scaling_items': 0.18802998602290058, 'scaling_users': 0.38099093109821097}"
18,0.019881650483184785,"{'num_factors': 298, 'scaling_items': 0.4358578306823881, 'scaling_users': 0.13725740091001054}"
19,0.018188261890487556,"{'num_factors': 128, 'scaling_items': 0.014531575065636078, 'scaling_users': 0.3011207538881656}"
20,0.013838209566275938,"{'num_factors': 204, 'scaling_items': 0.7485571097779818, 'scaling_users': 0.6376459327467869}"
21,0.02260318084817834,"{'num_factors': 216, 'scaling_items': 0.05325153706808931, 'scaling_users': 0.22951222863382137}"
22,0.022008825974934157,"{'num_factors': 243, 'scaling_items': 0.22918120735998362, 'scaling_users': 0.14384604881440216}"
23,0.0223989324165666,"{'num_factors': 271, 'scaling_items': 0.10348520963173857, 'scaling_users': 0.31505559820366286}"
24,0.01834481075853591,"{'num_factors': 193, 'scaling_items': 0.07402587791737772, 'scaling_users': 0.4733546657958425}"
25,0.021806244736353557,"{'num_factors': 227, 'scaling_items': 0.1962859933427052, 'scaling_users': 0.220832920640777}"
26,0.026799033987095468,"{'num_factors': 257, 'scaling_items': 0.012481762811066945, 'scaling_users': 0.08886190786939317}"
27,0.01963229193430962,"{'num_factors': 257, 'scaling_items': 0.3830587307556027, 'scaling_users': 0.012424307149102351}"
28,0.022957418663283456,"{'num_factors': 280, 'scaling_items': 0.22789580332535497, 'scaling_users': 0.0850116896237848}"
29,0.02385596099013615,"{'num_factors': 235, 'scaling_items': 0.10990752275708265, 'scaling_users': 0.14549562137617983}"
30,0.02464826464721043,"{'num_factors': 283, 'scaling_items': 0.1289697027933978, 'scaling_users': 0.14790728523053778}"
31,0.025002669739208228,"{'num_factors': 286, 'scaling_items': 0.12105963666812748, 'scaling_users': 0.13110592677688482}"
32,0.022710574843696228,"{'num_factors': 285, 'scaling_items': 0.24699039773756903, 'scaling_users': 0.0810788476617112}"
33,0.022224918725733435,"{'num_factors': 261, 'scaling_items': 0.15046909616974985, 'scaling_users': 0.29228996459567347}"
34,0.027166957282387837,"{'num_factors': 291, 'scaling_items': 0.07563616073511353, 'scaling_users': 0.02610029187528763}"
